lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",1,0,0,0,24,4,1,0.06529091034577955,0.004138894992821399,14489,946,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",1,-1,0,0,24,4,1,0.05226170444422449,0.004512468087173843,10103,528,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",1,1,0,0,24,4,1,0.05673192169396724,0.005462574655301804,7509,426,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[1, 3, 0, -1]",0,0,0,0,24,4,2,0.07462686567164178,0.009021562167278244,3618,270,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[1, 3, 0, -1]",-1,0,0,0,24,4,2,0.04969446441409058,0.004195385278223739,11128,553,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[1, 3, 0, -1]",1,0,0,0,24,4,2,0.04647247011281361,0.005653285956901857,5939,276,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.06590839849700417,0.005072078657278115,9847,649,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,24,4,2,0.0460918698336298,0.0030649734444321702,19114,881,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[0, 2, 0, -1]",1,0,0,0,24,4,2,0.04279764469337929,0.005011592650815085,6963,298,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",0,0,0,0,24,4,1,0.06569151265656477,0.004692105285588485,11417,750,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",-1,0,0,0,24,4,2,0.07405022537025113,0.006778302570108613,6212,460,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",-1,-1,0,0,24,4,1,0.06337702390131071,0.006192299914273447,6485,411,0.0
