metric_type,vortex_type,lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,permutation,gate_order_str,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological,p_cx,is_standard_order
distance,arbitrary,"[0, 7, 0, 0]","[4, 3, 0, 0]","[0, -2, -1, 0]","[-2, 0, 0, -1]",0,0,0,0,"0,8,4,9,1,6,3,11,5,7,2,10",Z:on_site_L -> X:axis_0 -> Z:axis_2 -> X:axis_1 -> Z:on_site_R -> X:on_site_L -> Z:axis_1 -> X:axis_3 -> Z:axis_3 -> X:on_site_R -> Z:axis_0 -> X:axis_2,111,6,6,0.00027,0.00012281948295759463,100000,27,0.0,0.002,True
distance,zero_vortex,"[0, 7, 0, 0]","[4, 3, 0, 0]","[0, -2, -1, 0]","[-2, 0, 0, -1]",0,0,0,0,"0,8,4,9,1,6,3,11,5,7,2,10",Z:on_site_L -> X:axis_0 -> Z:axis_2 -> X:axis_1 -> Z:on_site_R -> X:on_site_L -> Z:axis_1 -> X:axis_3 -> Z:axis_3 -> X:on_site_R -> Z:axis_0 -> X:axis_2,111,6,6,0.00027,0.00012281948295759463,100000,27,0.0,0.002,True
error_rate,arbitrary,"[0, 7, 0, 0]","[4, 3, 0, 0]","[0, -2, -1, 0]","[-2, 0, 0, -1]",0,0,0,0,"0,8,4,9,1,6,3,11,5,7,2,10",Z:on_site_L -> X:axis_0 -> Z:axis_2 -> X:axis_1 -> Z:on_site_R -> X:on_site_L -> Z:axis_1 -> X:axis_3 -> Z:axis_3 -> X:on_site_R -> Z:axis_0 -> X:axis_2,111,6,6,0.00027,0.00012281948295759463,100000,27,0.0,0.002,True
error_rate,zero_vortex,"[0, 7, 0, 0]","[4, 3, 0, 0]","[0, -2, -1, 0]","[-2, 0, 0, -1]",0,0,0,0,"0,8,4,9,1,6,3,11,5,7,2,10",Z:on_site_L -> X:axis_0 -> Z:axis_2 -> X:axis_1 -> Z:on_site_R -> X:on_site_L -> Z:axis_1 -> X:axis_3 -> Z:axis_3 -> X:on_site_R -> Z:axis_0 -> X:axis_2,111,6,6,0.00027,0.00012281948295759463,100000,27,0.0,0.002,True
