lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.021102225037611846,0.001846700220524078,25258,533,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,24,4,2,0.02806122448979592,0.0030887989902592464,12152,341,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,-1,0,0,24,4,2,0.024043715846994537,0.002910402629248115,11895,286,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,1,0,0,24,4,2,0.027901077996195307,0.002687664570108928,15770,440,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.0336362403363624,0.00303361985275373,14746,496,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.03377556661138751,0.0027331206156700136,18090,611,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.032877293456358044,0.0026417121399480714,18858,620,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.04693542716512364,0.00327647531605018,17066,801,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.0460056657223796,0.004572017656524985,8825,406,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.0431266846361186,0.004519805528250459,8533,368,0.0
